sku,descripcion,tipo,unidad,costo_unit,moneda,proveedor
BIS-35-REC,Bisagra cazoleta 35mm recta,bisagra,pza,,MXN,
BIS-35-SEM,Bisagra cazoleta 35mm semicurva,bisagra,pza,,MXN,
BIS-35-CUR,Bisagra cazoleta 35mm curva,bisagra,pza,,MXN,
COR-LAT-300,Corredera lateral extension 300mm,corredera,par,,MXN,
COR-LAT-350,Corredera lateral extension 350mm,corredera,par,,MXN,
COR-LAT-400,Corredera lateral extension 400mm,corredera,par,,MXN,
COR-LAT-450,Corredera lateral extension 450mm,corredera,par,,MXN,
COR-LAT-500,Corredera lateral extension 500mm,corredera,par,,MXN,
COR-LAT-550,Corredera lateral extension 550mm,corredera,par,,MXN,
COR-BAJ-450,Corredera bajo cajon 450mm,corredera,par,,MXN,
COR-BAJ-500,Corredera bajo cajon 500mm,corredera,par,,MXN,
PAT-NIV-100,Pata niveladora 100mm,estructura,pza,,MXN,
UNI-MIN-15,Minifix + tarugo,estructura,jgo,,MXN,
TOR-35X45,Tornillo 3.5x45,estructura,pza,,MXN,
TOR-35X16,Tornillo 3.5x16 para corredera,estructura,pza,,MXN,
LED-TIRA,Tira LED 14.4W/m,led,ml,,MXN,
LED-PERFIL,Perfil aluminio + difusor,led,ml,,MXN,
LED-FUENTE,Fuente LED,led,pza,,MXN,
LED-CTRL,Control LED,led,pza,,MXN,
LED-CONECT,Conectores y cable LED,led,jgo,,MXN,
JAL-MONO-BOW,Jaladera tipo mono (bow) 128mm laton lacado rosa,jaladera,pza,,MXN,
