sku,descripcion,marca,espesor_mm,largo_mm,ancho_mm,costo_hoja,costo_m2,moneda,notas
MEL-BLA-15-IMP,Melamina blanca 15mm,Importacion,15,2440,1220,568.11,190.85,MXN,El mas utilizado
MEL-BLA-15-DUR,Melamina blanca 15mm,Duraplay,15,2440,1220,689.66,231.68,MXN,
MEL-BLA-15-ARA,Melamina blanca 15mm,Arauco,15,2440,1220,689.64,231.67,MXN,
MEL-BLA-15-MAD,Melamina blanca 15mm,Mademel,15,2440,1220,,,MXN,COMPLETAR
MEL-COL-19-ARA,Melamina color 19mm,Arauco,19,2440,1220,,,MXN,COMPLETAR
BRI-BLA-19-ARA,Alto brillo blanco 19mm,Arauco,19,2440,1220,,,MXN,COMPLETAR - cintilla PVC a MANO
MEL-BLA-19-CUB,Tablero 19mm para cubierta,,19,2440,1220,,,MXN,COMPLETAR
MDF-003-FON,MDF fondo 3mm,,3,2440,1220,,,MXN,COMPLETAR
MEL-ROBLE-NAT-15,Roble natural claro veta vertical 15mm,,15,2440,1220,,,MXN,COMPLETAR - frente inferiores estilo Mono Atelier
LAC-VERDE-SAGE-15,Lacado verde sage mate 15mm,,15,2440,1220,,,MXN,COMPLETAR - frente superiores estilo Mono Atelier
